Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,1 23,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
#,А,Клуб,Имя,$,П-ть,П-ть-Δ,КЭ,КЭ-Δ,КЭ%,H2h,H2h-Δ,Кап,Кап-Δ,Pts,G,Avg,F,aF,F_1,ToF,Последние игры
1,Пз,Комо,Нико Пас,8.0,70.6,-1.5,95.1,-1.4,-1.5,87.9,-5.7,3.9,-17.7,144,22,6.5,5.4,5.4,0,84.4,+4 +3 +4 +12 +4
2,Зщ,Интер,Димарко,6.0,51.8,9.7,93.7,73.9,78.9,83.7,43.4,8.4,7.9,140,20,7.0,11.3,9.0,0,81.0,+15 +9 - +7 +14
3,Пз,Наполи,Мактоминей,11.0,38.1,4.3,81.0,16.9,20.9,64.8,15.5,5.4,3.8,130,22,5.9,7.0,7.0,3,90.0,+9 +15 +6 +5 +4 +3
4,Пз,Ювентус,Йылдыз,8.5,62.8,6.5,93.0,47.2,50.8,87.3,29.4,12.3,10.9,126,21,6.0,5.0,5.0,0,81.0,+4 +6 +3 +7
5,Пз,Рома,Соуле,8.0,31.2,4.1,30.3,26.1,86.0,34.4,18.1,0.4,0.1,118,22,5.4,5.0,5.0,0,55.5,+2 +13 +2 +3
6,Зщ,Ювентус,Калулу,5.5,32.2,5.3,52.8,17.6,33.3,51.7,13.4,0.1,0.1,115,22,5.2,7.3,7.3,0,90.0,+10 +10 +2 +7
7,Нп,Интер,Мартинес,10.5,68.4,0.5,98.6,,,96.0,0.9,60.8,-2.5,115,22,5.2,4.2,4.2,0,71.6,+2 +3 +4 +6 +6
8,Пз,Милан,Модрич,7.0,32.3,0.6,1.4,0.7,,9.3,-0.1,0.1,,114,21,5.4,4.3,3.4,0,67.3,+7 - +2 +1 +7
9,Пз,Милан,Салемакерс,7.5,11.4,-1.9,0.0,-0.7,,4.1,-2.7,0.1,,111,22,5.0,4.0,4.0,0,73.2,+3 +3 +4 +8 +2
10,Пз,Торино,Влашич,7.5,13.2,3.8,27.5,25.4,92.3,23.0,17.4,0.4,0.4,111,22,5.0,3.8,3.8,0,90.0,+4 +4 +3 +4
11,Зщ,Рома,Франса,5.5,33.4,1.9,18.3,7.8,42.3,27.0,5.8,0.4,,110,20,5.5,4.5,4.5,0,74.3,+7 +1 +7 +3
12,Пз,Рома,Куадио Коне,6.5,4.5,-1.7,0.0,-0.7,,0.6,-1.4,0.0,,109,22,5.0,5.3,5.3,0,82.3,+6 +8 +5 +2
13,Зщ,Интер,Бастони,6.0,36.7,-0.6,52.1,-5.6,-9.8,37.2,-6.2,0.1,-0.2,108,19,5.7,5.3,3.2,0,90.0,- +3 +7 - +6
14,Пз,Сассуоло,Матич,5.5,3.5,0.1,0.0,,,2.8,0.3,0.3,,107,21,5.1,5.2,5.2,9,87.4,+3 +4 +4 +6 +9
15,Пз,Рома,Кристанте,7.0,3.3,0.2,0.0,,,0.7,0.2,0.4,,105,21,5.0,4.7,3.5,0,90.0,+5 - +5 +4
16,Пз,Интер,Чалханоглу,8.0,4.7,-0.7,1.4,,,1.2,-0.8,0.1,,105,16,6.6,6.0,3.0,0,78.0,+4 +8 - -
17,Зщ,Наполи,Ди Лоренцо,6.0,33.4,0.6,62.7,3.5,5.6,52.4,2.0,0.2,,105,23,4.6,4.3,4.3,1,80.0,+7 +2 +9 +6 +1 +1
18,Пз,Интер,Барелла,8.0,9.9,-3.0,0.0,,,1.8,-2.9,0.1,-0.1,104,22,4.7,3.0,3.0,0,57.4,+4 +4 +2 +5 0
19,Вр,Лацио,Проведель,5.5,18.0,1.1,4.9,2.8,,11.9,1.5,0.1,,103,23,4.5,4.2,4.2,0,90.0,+2 +6 +7 +6 0
